country,month_year,NO2,O3,PM10,PM2.5
Albania,2019-01,4.788064516129031,63.953548387096774,7.85741935483871,6.93225806451613
Albania,2019-02,4.4296428571428565,69.51571428571428,18.08285714285714,14.165000000000003
Albania,2019-03,4.400322580645161,66.10032258064516,16.801290322580645,13.384516129032257
Albania,2019-04,3.7706666666666675,68.55199999999999,26.38266666666667,17.693666666666665
Albania,2019-05,3.4458064516129023,73.70129032258065,10.44935483870968,8.387419354838707
Albania,2019-06,3.461999999999999,78.59200000000001,20.78333333333334,14.66066666666667
Albania,2019-07,3.4432258064516135,80.49032258064516,17.046774193548387,13.019354838709678
Albania,2019-08,3.7180645161290315,85.08548387096775,19.75838709677419,13.894193548387095
Albania,2019-09,4.343999999999999,72.50766666666667,16.389333333333333,12.803999999999998
Albania,2019-10,6.789999999999999,64.34322580645163,17.638387096774192,13.111612903225806
Albania,2019-11,5.039,59.89733333333333,9.150666666666666,6.4879999999999995
Albania,2019-12,6.935483870967744,53.95870967741935,8.806774193548387,7.057741935483871
Albania,2020-01,9.74225806451613,57.146129032258074,14.246129032258061,12.007419354838714
Albania,2020-02,6.529310344827586,67.0710344827586,12.574482758620688,10.215172413793102
Albania,2020-03,5.39774193548387,75.02322580645162,16.809677419354834,13.146774193548387
Albania,2020-04,4.779666666666667,79.59033333333335,15.418333333333331,12.697666666666667
Albania,2020-05,4.1289655172413795,77.66448275862068,20.434827586206893,10.782758620689652
Austria,2019-01,20.188064516129028,42.539677419354845,16.679677419354835,13.685161290322585
Austria,2019-02,23.156071428571433,48.42892857142857,20.999285714285715,17.450714285714287
Austria,2019-03,16.655806451612907,65.4683870967742,14.383548387096772,11.522903225806449
Austria,2019-04,13.94933333333333,75.14133333333334,22.278666666666663,17.703333333333333
Austria,2019-05,11.325483870967743,70.93096774193549,10.864838709677418,8.74709677419355
Austria,2019-06,10.360000000000003,85.71499999999997,17.804666666666666,13.225666666666664
Austria,2019-07,10.05225806451613,82.93870967741935,14.65741935483871,10.948387096774194
Austria,2019-08,11.16709677419355,74.84290322580644,13.811935483870968,10.796451612903228
Austria,2019-09,12.40633333333333,58.05466666666666,11.074333333333334,7.815666666666667
Austria,2019-10,19.121612903225806,36.20516129032258,17.596774193548388,13.136129032258063
Austria,2019-11,16.71666666666667,34.071,13.567333333333332,10.874333333333334
Austria,2019-12,22.257741935483878,33.432580645161295,16.09967741935484,12.795483870967743
Austria,2020-01,26.777096774193552,28.10935483870967,23.116774193548384,18.926774193548383
Austria,2020-02,14.147931034482763,58.93172413793103,9.822068965517241,7.631034482758621
Austria,2020-03,15.31451612903226,63.51612903225807,17.923870967741934,13.042580645161292
Austria,2020-04,15.153333333333336,77.84133333333332,18.73366666666666,12.852333333333329
Austria,2020-05,11.356206896551726,73.84310344827585,11.714827586206898,8.27241379310345
Belgium,2019-01,27.841612903225805,34.07709677419354,18.031935483870964,13.185483870967742
Belgium,2019-02,28.529285714285717,36.075714285714284,21.415357142857143,16.947499999999998
Belgium,2019-03,18.182258064516127,54.511935483870964,19.020967741935483,13.694838709677422
Belgium,2019-04,22.165000000000003,57.77333333333332,26.003333333333337,20.992333333333338
Belgium,2019-05,17.901612903225804,57.480322580645165,18.834516129032256,14.395483870967745
Belgium,2019-06,14.142666666666663,63.64833333333334,15.570333333333338,10.367999999999999
Belgium,2019-07,15.399354838709677,61.35516129032258,16.899354838709673,10.571290322580646
Belgium,2019-08,15.664838709677419,54.87612903225808,16.585806451612903,11.056129032258065
Belgium,2019-09,16.792000000000005,43.493333333333325,12.708000000000004,7.225666666666668
Belgium,2019-10,18.40548387096774,37.152580645161294,13.647741935483868,8.355483870967744
Belgium,2019-11,24.738333333333326,27.51766666666667,14.866000000000005,10.017
Belgium,2019-12,23.355161290322584,36.94064516129033,16.10225806451613,10.494838709677419
Belgium,2020-01,23.862903225806452,37.47645161290323,17.00774193548387,11.233225806451614
Belgium,2020-02,13.441379310344828,59.40241379310346,13.578965517241375,7.046896551724139
Belgium,2020-03,17.13258064516129,56.38838709677419,18.120645161290323,11.299999999999999
Belgium,2020-04,22.044,62.10800000000002,25.799333333333326,16.53366666666667
Belgium,2020-05,17.545862068965516,66.46068965517242,16.824137931034485,9.529310344827588
Bosnia and Herzegovina,2019-01,6.368064516129033,51.15129032258065,12.811290322580643,11.93774193548387
Bosnia and Herzegovina,2019-02,4.861071428571429,58.741428571428564,21.092857142857145,17.61285714285714
Bosnia and Herzegovina,2019-03,3.290967741935484,67.53322580645163,17.33225806451613,14.164193548387098
Bosnia and Herzegovina,2019-04,2.5036666666666667,68.74,23.139666666666674,16.628000000000004
Bosnia and Herzegovina,2019-05,2.130967741935484,66.42032258064516,9.12774193548387,7.727419354838708
Bosnia and Herzegovina,2019-06,3.6176666666666666,61.70233333333335,17.593666666666667,13.017333333333333
Bosnia and Herzegovina,2019-07,2.534516129032258,67.12225806451613,15.412903225806451,12.020645161290325
Bosnia and Herzegovina,2019-08,2.631935483870967,68.67354838709676,18.10451612903226,13.490967741935481
Bosnia and Herzegovina,2019-09,3.631666666666667,58.91166666666666,13.167666666666666,10.307999999999996
Bosnia and Herzegovina,2019-10,7.0441935483870965,56.943548387096776,14.780967741935482,11.81935483870968
Bosnia and Herzegovina,2019-11,3.5863333333333336,56.068666666666665,7.722666666666665,6.328000000000001
Bosnia and Herzegovina,2019-12,6.9648387096774185,52.00064516129033,11.308064516129035,9.40032258064516
Bosnia and Herzegovina,2020-01,10.201935483870967,58.753870967741925,19.031935483870967,16.79806451612903
