Country,GDP,Date,Value,Unit
Malta,10.57,Apr-19,0.0,thousand tones
Netherlands,880.4,Apr-19,4452.0,thousand tones
Austria,436.1,Apr-19,757.0,thousand tones
Poland,552.2,Apr-19,2273.0,thousand tones
Portugal,228.2,Apr-19,993.0,thousand tones
Romania,199.0,Apr-19,958.0,thousand tones
Slovenia,49.93,Apr-19,0.0,thousand tones
Slovakia,99.75,Apr-19,460.0,thousand tones
Finland,276.3,Apr-19,995.0,thousand tones
Sweden,559.1,Apr-19,1197.0,thousand tones
United Kingdom,2848.0,Apr-19,4300.0,thousand tones
Norway,511.6,Apr-19,1229.0,thousand tones
Montenegro,4.66,Apr-19,,thousand tones
Albania,13.4,Apr-19,37.0,thousand tones
Turkey,813.3,Apr-19,2820.0,thousand tones
Belgium,527.8,May-19,2871.0,thousand tones
Bulgaria,55.08,May-19,625.0,thousand tones
Denmark,347.2,May-19,664.0,thousand tones
Germany,3820.0,May-19,6848.166,thousand tones
Estonia,26.36,May-19,0.0,thousand tones
Ireland,245.8,May-19,48.0,thousand tones
Greece,246.4,May-19,1950.0,thousand tones
Spain,1400.0,May-19,5480.0,thousand tones
France,2902.0,May-19,4101.0,thousand tones
Croatia,57.18,May-19,81.0,thousand tones
Italy,2129.0,May-19,5608.0,thousand tones
Cyprus,21.34,May-19,0.0,thousand tones
Latvia,32.82,May-19,0.0,thousand tones
Lithuania,48.72,May-19,839.0,thousand tones
Luxembourg,63.93,May-19,0.0,thousand tones
Hungary,129.7,May-19,589.0,thousand tones
Malta,10.57,May-19,0.0,thousand tones
Netherlands,880.4,May-19,4396.0,thousand tones
Austria,436.1,May-19,778.0,thousand tones
Poland,552.2,May-19,2204.0,thousand tones
Portugal,228.2,May-19,1122.0,thousand tones
Romania,199.0,May-19,1070.0,thousand tones
Slovenia,49.93,May-19,0.0,thousand tones
Slovakia,99.75,May-19,189.0,thousand tones
Finland,276.3,May-19,1070.0,thousand tones
Sweden,559.1,May-19,1200.0,thousand tones
United Kingdom,2848.0,May-19,4224.0,thousand tones
Norway,511.6,May-19,1247.0,thousand tones
Montenegro,4.66,May-19,,thousand tones
Albania,13.4,May-19,14.0,thousand tones
Turkey,813.3,May-19,2823.0,thousand tones
Belgium,527.8,Jun-19,2836.0,thousand tones
Bulgaria,55.08,Jun-19,598.0,thousand tones
Denmark,347.2,Jun-19,601.0,thousand tones
Germany,3820.0,Jun-19,7007.769,thousand tones
Estonia,26.36,Jun-19,0.0,thousand tones
Ireland,245.8,Jun-19,74.0,thousand tones
Greece,246.4,Jun-19,1916.0,thousand tones
Spain,1400.0,Jun-19,4992.0,thousand tones
France,2902.0,Jun-19,3612.0,thousand tones
Croatia,57.18,Jun-19,327.0,thousand tones
Italy,2129.0,Jun-19,5586.0,thousand tones
Cyprus,21.34,Jun-19,0.0,thousand tones
Latvia,32.82,Jun-19,0.0,thousand tones
Lithuania,48.72,Jun-19,852.0,thousand tones
Luxembourg,63.93,Jun-19,0.0,thousand tones
Hungary,129.7,Jun-19,607.0,thousand tones
Malta,10.57,Jun-19,0.0,thousand tones
Netherlands,880.4,Jun-19,3921.0,thousand tones
Austria,436.1,Jun-19,748.0,thousand tones
Poland,552.2,Jun-19,2271.0,thousand tones
Portugal,228.2,Jun-19,1042.0,thousand tones
Romania,199.0,Jun-19,1033.0,thousand tones
Slovenia,49.93,Jun-19,0.0,thousand tones
Slovakia,99.75,Jun-19,241.0,thousand tones
Finland,276.3,Jun-19,978.0,thousand tones
Sweden,559.1,Jun-19,1736.0,thousand tones
United Kingdom,2848.0,Jun-19,3895.0,thousand tones
Norway,511.6,Jun-19,1277.0,thousand tones
Montenegro,4.66,Jun-19,,thousand tones
Albania,13.4,Jun-19,50.0,thousand tones
Turkey,813.3,Jun-19,2488.0,thousand tones
Belgium,527.8,Jul-19,2890.0,thousand tones
Bulgaria,55.08,Jul-19,617.0,thousand tones
Denmark,347.2,Jul-19,656.0,thousand tones
Germany,3820.0,Jul-19,7803.238,thousand tones
Estonia,26.36,Jul-19,0.0,thousand tones
Ireland,245.8,Jul-19,230.0,thousand tones
Greece,246.4,Jul-19,2116.0,thousand tones
Spain,1400.0,Jul-19,5517.0,thousand tones
France,2902.0,Jul-19,4490.0,thousand tones
Croatia,57.18,Jul-19,387.0,thousand tones
Italy,2129.0,Jul-19,6134.0,thousand tones
Cyprus,21.34,Jul-19,0.0,thousand tones
Latvia,32.82,Jul-19,0.0,thousand tones
Lithuania,48.72,Jul-19,880.0,thousand tones
Luxembourg,63.93,Jul-19,0.0,thousand tones
Hungary,129.7,Jul-19,549.0,thousand tones
Malta,10.57,Jul-19,0.0,thousand tones
Netherlands,880.4,Jul-19,4866.0,thousand tones
Austria,436.1,Jul-19,765.0,thousand tones
Poland,552.2,Jul-19,2397.0,thousand tones
Portugal,228.2,Jul-19,1170.0,thousand tones
Romania,199.0,Jul-19,1037.0,thousand tones
Slovenia,49.93,Jul-19,0.0,thousand tones
Slovakia,99.75,Jul-19,332.0,thousand tones
Finland,276.3,Jul-19,1032.0,thousand tones
Sweden,559.1,Jul-19,1811.0,thousand tones
United Kingdom,2848.0,Jul-19,4379.0,thousand tones
Norway,511.6,Jul-19,1339.0,thousand tones
Montenegro,4.66,Jul-19,,thousand tones
Albania,13.4,Jul-19,41.0,thousand tones
Turkey,813.3,Jul-19,3023.0,thousand tones
Belgium,527.8,Aug-19,2968.0,thousand tones
Bulgaria,55.08,Aug-19,613.0,thousand tones
Denmark,347.2,Aug-19,628.0,thousand tones
Germany,3820.0,Aug-19,7505.33,thousand tones
Estonia,26.36,Aug-19,0.0,thousand tones
Ireland,245.8,Aug-19,257.0,thousand tones
Greece,246.4,Aug-19,2089.0,thousand tones
Spain,1400.0,Aug-19,6000.0,thousand tones
France,2902.0,Aug-19,4714.0,thousand tones
Croatia,57.18,Aug-19,388.0,thousand tones
Italy,2129.0,Aug-19,6353.0,thousand tones
Cyprus,21.34,Aug-19,0.0,thousand tones
Latvia,32.82,Aug-19,0.0,thousand tones
Lithuania,48.72,Aug-19,881.0,thousand tones
Luxembourg,63.93,Aug-19,0.0,thousand tones
Hungary,129.7,Aug-19,528.0,thousand tones
Malta,10.57,Aug-19,0.0,thousand tones
Netherlands,880.4,Aug-19,4896.0,thousand tones
Austria,436.1,Aug-19,802.0,thousand tones
Poland,552.2,Aug-19,2361.0,thousand tones
Portugal,228.2,Aug-19,545.0,thousand tones
Romania,199.0,Aug-19,1043.0,thousand tones
Slovenia,49.93,Aug-19,0.0,thousand tones
Slovakia,99.75,Aug-19,433.0,thousand tones
Finland,276.3,Aug-19,1073.0,thousand tones
Sweden,559.1,Aug-19,1751.0,thousand tones
United Kingdom,2848.0,Aug-19,4568.0,thousand tones
Norway,511.6,Aug-19,1211.0,thousand tones
Montenegro,4.66,Aug-19,,thousand tones
Albania,13.4,Aug-19,40.0,thousand tones
Turkey,813.3,Aug-19,3168.0,thousand tones
Belgium,527.8,Sep-19,2719.0,thousand tones
Bulgaria,55.08,Sep-19,574.0,thousand tones
Denmark,347.2,Sep-19,498.0,thousand tones
Germany,3820.0,Sep-19,7201.172,thousand tones
Estonia,26.36,Sep-19,0.0,thousand tones
Ireland,245.8,Sep-19,270.0,thousand tones
Greece,246.4,Sep-19,1985.0,thousand tones
Spain,1400.0,Sep-19,5279.0,thousand tones
France,2902.0,Sep-19,3932.0,thousand tones
Croatia,57.18,Sep-19,269.0,thousand tones
Italy,2129.0,Sep-19,6053.0,thousand tones
Cyprus,21.34,Sep-19,0.0,thousand tones
Latvia,32.82,Sep-19,0.0,thousand tones
Lithuania,48.72,Sep-19,835.0,thousand tones
Luxembourg,63.93,Sep-19,0.0,thousand tones
Hungary,129.7,Sep-19,326.0,thousand tones
Malta,10.57,Sep-19,0.0,thousand tones
Netherlands,880.4,Sep-19,4799.0,thousand tones
Austria,436.1,Sep-19,692.0,thousand tones
Poland,552.2,Sep-19,2253.0,thousand tones
Portugal,228.2,Sep-19,386.0,thousand tones
Romania,199.0,Sep-19,1038.0,thousand tones
Slovenia,49.93,Sep-19,0.0,thousand tones
Slovakia,99.75,Sep-19,513.0,thousand tones
Finland,276.3,Sep-19,913.0,thousand tones
Sweden,559.1,Sep-19,1120.0,thousand tones
United Kingdom,2848.0,Sep-19,4159.0,thousand tones
Norway,511.6,Sep-19,1045.0,thousand tones
