country,Country_code,unit,2020Q1,2019Q4,2019Q3,2019Q2,2019Q1,2020M03,2020M02,2020M01,2019M12,2019M11,2019M10,2019M09,2019M08,2019M07,2019M06,2019M05,2019M04,2019M03,2019M02,2019M01
Belgium,BEL,Thousand tonnes,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,Thousand tonnes,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,Thousand tonnes,,,,388,94,,,,,,,,,,129,129,129,31,31,31
Belgium,BEL,Thousand tonnes,,,,178,32,,,,,,,,,,59,59,59,10,10,10
Belgium,BEL,Thousand tonnes,,,,25,4,,,,,,,,,,8,8,8,1,1,1
Belgium,BEL,Thousand tonnes,,,,60,11,,,,,,,,,,20,20,20,3,3,3
Belgium,BEL,Thousand tonnes,,,,25,4,,,,,,,,,,8,8,8,1,1,1
Belgium,BEL,Thousand tonnes,,,,25,4,,,,,,,,,,8,8,8,1,1,1
Belgium,BEL,Thousand tonnes,,,,30,9,,,,,,,,,,10,10,10,3,3,3
Belgium,BEL,Thousand tonnes,,,,185,58,,,,,,,,,,61,61,61,19,19,19
Belgium,BEL,Thousand tonnes,,,,149,51,,,,,,,,,,49,49,49,17,17,17
Belgium,BEL,Thousand tonnes,,,,185,58,,,,,,,,,,61,61,61,19,19,19
Belgium,BEL,Thousand tonnes,,,,185,58,,,,,,,,,,61,61,61,19,19,19
Belgium,BEL,Thousand tonnes,,,,179,53,,,,,,,,,,59,59,59,17,17,17
Belgium,BEL,Thousand tonnes,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,Thousand tonnes,,,7935,9179,7876,,,,,,,2645,2645,2645,3059,3059,3059,2625,2625,2625
Belgium,BEL,Thousand tonnes,,,178,210,187,,,,,,,59,59,59,70,70,70,62,62,62
Belgium,BEL,Thousand tonnes,,,5074,6360,5151,,,,,,,1691,1691,1691,2120,2120,2120,1717,1717,1717
Belgium,BEL,Thousand tonnes,,,5463,6767,5568,,,,,,,1821,1821,1821,2255,2255,2255,1856,1856,1856
Belgium,BEL,Thousand tonnes,,,5074,6360,5151,,,,,,,1691,1691,1691,2120,2120,2120,1717,1717,1717
Belgium,BEL,Thousand tonnes,,,5362,6417,5162,,,,,,,1787,1787,1787,2139,2139,2139,1720,1720,1720
Belgium,BEL,Thousand tonnes,,,5758,6908,5634,,,,,,,1919,1919,1919,2302,2302,2302,1878,1878,1878
Belgium,BEL,Thousand tonnes,,,2683,2609,2538,,,,,,,894,894,894,869,869,869,846,846,846
Belgium,BEL,Thousand tonnes,,,2294,2203,2122,,,,,,,764,764,764,734,734,734,707,707,707
Belgium,BEL,Thousand tonnes,,,2683,2609,2538,,,,,,,894,894,894,869,869,869,846,846,846
Belgium,BEL,Thousand tonnes,,,2395,2552,2528,,,,,,,798,798,798,850,850,850,842,842,842
Belgium,BEL,Thousand tonnes,,,1999,2062,2055,,,,,,,666,666,666,687,687,687,685,685,685
Belgium,BEL,Thousand tonnes,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,Thousand tonnes,,,1824,2072,1706,,,,,,,608,608,608,690,690,690,568,568,568
Belgium,BEL,Thousand tonnes,,,,2,,,,,,,,,,,0,0,0,,,
Belgium,BEL,Thousand tonnes,,,797,1035,760,,,,,,,265,265,265,345,345,345,253,253,253
Belgium,BEL,Thousand tonnes,,,1034,1279,1028,,,,,,,344,344,344,426,426,426,342,342,342
Belgium,BEL,Thousand tonnes,,,797,1035,760,,,,,,,265,265,265,345,345,345,253,253,253
Belgium,BEL,Thousand tonnes,,,807,1035,760,,,,,,,269,269,269,345,345,345,253,253,253
Belgium,BEL,Thousand tonnes,,,837,1067,784,,,,,,,279,279,279,355,355,355,261,261,261
Belgium,BEL,Thousand tonnes,,,1027,1035,947,,,,,,,342,342,342,345,345,345,315,315,315
Belgium,BEL,Thousand tonnes,,,790,790,679,,,,,,,263,263,263,263,263,263,226,226,226
Belgium,BEL,Thousand tonnes,,,1027,1035,947,,,,,,,342,342,342,345,345,345,315,315,315
Belgium,BEL,Thousand tonnes,,,1017,1035,947,,,,,,,339,339,339,345,345,345,315,315,315
Belgium,BEL,Thousand tonnes,,,987,1003,922,,,,,,,329,329,329,334,334,334,307,307,307
Belgium,BEL,Thousand tonnes,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,Thousand tonnes,,,6112,7107,6170,,,,,,,2037,2037,2037,2369,2369,2369,2056,2056,2056
Belgium,BEL,Thousand tonnes,,,178,208,187,,,,,,,59,59,59,69,69,69,62,62,62
Belgium,BEL,Thousand tonnes,,,4277,5325,4391,,,,,,,1425,1425,1425,1775,1775,1775,1463,1463,1463
Belgium,BEL,Thousand tonnes,,,4430,5487,4540,,,,,,,1476,1476,1476,1829,1829,1829,1513,1513,1513
Belgium,BEL,Thousand tonnes,,,4277,5325,4391,,,,,,,1425,1425,1425,1775,1775,1775,1463,1463,1463
Belgium,BEL,Thousand tonnes,,,4555,5382,4402,,,,,,,1518,1518,1518,1794,1794,1794,1467,1467,1467
Belgium,BEL,Thousand tonnes,,,4921,5841,4850,,,,,,,1640,1640,1640,1947,1947,1947,1616,1616,1616
Belgium,BEL,Thousand tonnes,,,1657,1575,1592,,,,,,,552,552,552,525,525,525,530,530,530
Belgium,BEL,Thousand tonnes,,,1504,1413,1443,,,,,,,501,501,501,471,471,471,481,481,481
