country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Labour force participation (female/male pop. %),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Balance of payments, current account (million US$)",Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Fertility rate, total (live births per woman)","Life expectancy at birth (females/males, years)","Population age distribution (0-14 / 60+ years, %)",International migrant stock (000/% of total pop.),Refugees and others of concern to UNHCR (in thousands),Infant mortality rate (per 1000 live births,Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Education: Primary gross enrol. ratio (f/m per 100 pop.),Education: Secondary gross enrol. ratio (f/m per 100 pop.),Education: Tertiary gross enrol. ratio (f/m per 100 pop.),Seats held by women in national parliaments %,Mobile-cellular subscriptions (per 100 inhabitants),Mobile-cellular subscriptions (per 100 inhabitants).1,Individuals using the Internet (per 100 inhabitants),Threatened species (number),Forested area (% of land area),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)",Energy supply per capita (Gigajoules),"Pop. using improved drinking water (urban/rural, %)","Pop. using improved sanitation facilities (urban/rural, %)",Net Official Development Assist. received (% of GNI),Labour force participation - female,Labour force participation - male,Population age distribution 60+,Population age distribution 0-14,Life expectancy at birth - females,Life expectancy at birth - males,Forested area,Forested area percent of land area),Confirmed,Recovered,Deaths,Maximum Actives,Current percent from Max Active,confirmed_percent_population,recovered_percent_population,deaths_percent_population,max_active_percent_population
Lithuania,NorthernEurope,65286,2890,46.1,85.4,41402,1.8,14383.7,3.6,29.8,66.5,8.7,24.5,66.8,9.2,54.1/66.1,125,125,25025.0,27501.0,-2476.0,-977.0,-1.3,66.5,-0.5,1.6,79.3/68.5,14.8/25.3,136.0/4.7,4.7,4.4,6.6,4.3,4.6,103.7/103.2,106.1/110.3,82.0/55.8,21.3,139.5,71.4,26,34.8,12.8/4.4,74,98,99.7/90.4,97.2/82.8,-99,-99,54.1,66.1,14.8,25.3,79.3,68.5,12.8,4.4,1670.0,1229.0,70.0,1047.0,0.3543457497612225,0.5778546712802768,0.4252595155709343,0.02422145328719723,0.36228373702422145
Luxembourg,WesternEurope,2586,584,225.3,101.0,56802,3.5,100160.8,0.2,12.1,87.7,1.3,10.2,88.5,5.6,52.0/65.5,98,98,12838.0,19124.0,-6285.0,2962.0,2.2,90.2,1.7,1.5,83.4/78.8,16.4/19.6,249.3/44.0,4.2,3.4,6.9,2.9,4.1,97.3/96.9,103.5/101.1,20.7/18.2,28.3,148.5,97.3,11,33.5,9.7/17.3,6,290,100.0/100.0,97.5/98.5,-99,-99,52.0,65.5,16.4,19.6,83.4,78.8,9.7,17.3,4016.0,3815.0,110.0,2870.0,0.03170731707317073,6.876712328767123,6.532534246575342,0.18835616438356165,4.914383561643835
Malta,SouthernEurope,315,431,1346.4,100.9,9747,6.2,23280.7,1.4,15.0,83.6,1.2,20.9,77.9,5.4,39.4/65.7,96,96,4039.0,7182.0,-3143.0,539.0,0.5,95.4,0.5,1.4,82.0/78.6,14.4/26.1,41.4/9.9,8.1,4.8,9.7,3.9,7.8,104.7/102.2,98.1/91.7,55.2/40.3,12.5,129.3,76.2,39,1.1,2.3/5.6,1,78,100.0/100.0,100.0/100.0,-99,-99,39.4,65.7,14.4,26.1,82.0,78.6,2.3,5.6,618.0,525.0,9.0,352.0,0.23863636363636365,1.4338747099767981,1.2180974477958237,0.02088167053364269,0.8167053364269141
Montenegro,SouthernEurope,13812,629,46.8,97.4,4020,4.5,6424.1,9.8,17.5,72.6,7.5,17.3,75.2,17.4,41.8/55.9,66,66,354.0,2263.0,-1908.0,-533.0,0.1,64.0,0.3,1.7,78.8/74.0,18.1/21.3,82.5/13.2,16.0,4.1,6.4,2.3,-99.0,93.3/95.2,90.3/90.4,.../...,23.5,162.2,64.6,98,61.5,2.2/3.5,29,64,100.0/99.2,98.0/92.2,2.44,-99,41.8,55.9,18.1,21.3,78.8,74.0,2.2,3.5,324.0,315.0,9.0,266.0,0.0,0.5151033386327504,0.5007949125596184,0.014308426073131956,0.42289348171701113
Netherlands,WesternEurope,41542,17036,505.2,99.0,750318,2.0,44332.1,1.8,20.0,78.2,2.2,15.9,81.9,5.6,57.3/69.7,115,115,511714.0,420969.0,90745.0,65129.0,0.3,90.5,1.0,1.7,83.1/79.4,16.4/25.0,1979.5/11.7,116.3,3.5,10.9,3.4,5.5,104.4/105.0,136.3/134.7,82.5/74.7,38.0,123.5,93.1,40,11.1,167.3/9.9,2447,178,100.0/100.0,97.5/99.9,-99,-99,57.3,69.7,16.4,25.0,83.1,79.4,167.3,9.9,46460.0,322.0,5970.0,40312.0,1.0,2.7271660014087815,0.018901150504813335,0.3504343742662597,2.3662831650622214
Norway,NorthernEurope,386194,5305,14.5,101.8,386578,1.6,74185.5,1.8,34.6,63.5,2.2,20.2,77.6,5.1,61.1/68.3,103,104,89120.0,72473.0,16647.0,33746.0,1.2,80.5,1.3,1.8,83.6/79.5,17.8/22.3,741.8/14.2,73.2,2.4,9.7,4.4,7.4,100.3/100.5,111.1/114.7,91.5/62.8,39.6,113.6,96.8,64,33.2,47.6/9.2,8204,233,100.0/100.0,98.0/98.3,-99,-99,61.1,68.3,17.8,22.3,83.6,79.5,47.6,9.2,8437.0,7727.0,236.0,8042.0,0.05894056204924148,1.5903864278982092,1.456550424128181,0.04448633364750235,1.515928369462771
Poland,EasternEurope,312679,38171,124.6,93.4,477066,3.9,12355.5,2.6,34.1,63.3,10.9,29.6,59.5,5.3,49.1/64.9,113,113,196455.0,188518.0,7937.0,-2932.0,-~0.0,60.5,-0.1,1.3,81.0/72.9,14.8/24.0,619.4/1.6,23.7,4.5,6.4,2.3,4.9,100.7/100.5,106.1/110.0,82.6/54.2,28.0,148.7,68.0,58,30.7,285.7/7.4,2819,102,99.3/96.9,97.5/96.7,-99,-99,49.1,64.9,14.8,24.0,81.0,72.9,285.7,7.4,23571.0,11016.0,1061.0,11494.0,1.0,0.6175106756438133,0.28859605459642135,0.027795970763144797,0.3011186502842472
Portugal,SouthernEurope,92226,10330,112.8,89.8,199122,1.6,19239.2,2.3,22.3,75.4,8.0,23.8,68.2,10.5,53.3/63.7,104,104,55658.0,67580.0,-11922.0,842.0,-0.4,63.5,1.0,1.3,83.5/77.3,13.6/27.9,837.3/8.1,1.8,2.9,9.5,4.4,5.1,105.3/109.4,117.3/121.0,65.7/58.0,34.8,110.4,68.6,281,34.9,45.1/4.3,250,84,100.0/100.0,99.6/99.8,-99,-99,53.3,63.7,13.6,27.9,83.5,77.3,45.1,4.3,32203.0,19186.0,1396.0,24065.0,0.48290047787242885,3.1174249757986447,1.8573088092933203,0.13514036786060019,2.329622458857696
Romania,EasternEurope,238391,19679,85.5,94.0,177956,3.7,9120.7,4.8,34.9,60.3,25.5,27.7,46.8,7.1,47.3/64.5,100,100,63581.0,74605.0,-11024.0,-2096.0,-0.6,54.6,~0.0,1.5,78.4/71.4,15.3/24.9,226.9/1.2,3.2,8.7,5.6,2.7,3.1,89.0/90.5,92.0/92.5,59.0/47.8,20.7,107.1,55.8,104,29.5,70.0/3.6,1109,68,100.0/100.0,92.2/63.3,-99,-99,47.3,64.5,15.3,24.9,78.4,71.4,70.0,3.6,19133.0,13046.0,1259.0,7716.0,0.6257128045619492,0.9722546877381981,0.6629401900503075,0.06397682809085828,0.3920930941612887
Serbia,SouthernEurope,88499,8791,100.5,95.6,37160,0.8,5238.6,8.2,31.4,60.5,19.4,24.5,56.1,15.5,43.4/59.9,102,102,14852.0,19231.0,-4379.0,-1751.0,-0.4,55.6,-0.3,1.6,77.5/71.8,16.5/24.5,807.4/9.1,254.1,9.8,10.4,2.5,4.2,101.2/101.5,97.4/96.0,66.9/50.2,34.4,120.5,65.3,71,31.1,37.7/4.3,393,62,99.4/98.9,98.2/94.2,0.90,-99,43.4,59.9,16.5,24.5,77.5,71.8,37.7,4.3,11381.0,6606.0,242.0,7786.0,0.5821988183919856,1.294619497213059,0.75145034694574,0.027528153793652598,0.8856785348652031
Slovakia,EasternEurope,49035,5448,113.3,94.6,87268,3.8,16082.5,3.7,34.8,61.5,3.3,34.5,62.2,9.9,51.4/68.0,97,97,77565.0,75156.0,2409.0,193.0,0.1,53.6,-0.3,1.4,79.8/72.6,15.4/21.8,177.2/3.3,2.7,5.7,8.1,3.4,4.2,99.2/100.2,92.8/92.1,64.6/41.8,20.0,122.3,85.0,54,40.3,30.7/5.6,264,121,100.0/100.0,99.4/98.2,-99,-99,51.4,68.0,15.4,21.8,79.8,72.6,30.7,5.6,1521.0,1356.0,28.0,1022.0,0.13405088062622308,0.2791850220264317,0.2488986784140969,0.005139500734214391,0.18759177679882524
Slovenia,SouthernEurope,20273,2080,103.3,98.6,42777,2.3,20689.8,2.4,32.7,64.9,8.9,29.6,61.5,8.1,51.8/62.2,89,89,27585.0,26646.0,939.0,2216.0,0.3,49.7,0.1,1.6,83.2/77.2,15.0/26.3,236.0/11.4,0.6,2.5,9.2,2.8,5.5,99.4/99.2,110.5/110.8,98.5/68.2,36.7,113.2,73.1,143,62.0,12.8/6.2,154,135,99.7/99.4,99.1/99.1,-99,-99,51.8,62.2,15.0,26.3,83.2,77.2,12.8,6.2,1473.0,1357.0,108.0,1109.0,0.007213706041478809,0.708173076923077,0.6524038461538462,0.051923076923076926,0.5331730769230769
Spain,SouthernEurope,505944,46354,92.9,96.2,1192955,3.2,25865.4,2.6,23.6,73.7,3.9,19.2,76.8,18.3,52.1/64.2,102,102,281777.0,302539.0,-20762.0,16208.0,-0.2,79.6,0.7,1.3,85.3/79.6,14.7/25.3,5853.0/12.7,28.8,2.9,9.0,3.8,4.3,105.6/104.5,129.6/130.0,97.1/82.5,39.1,107.9,78.7,617,36.8,234.0/5.1,1432,102,100.0/100.0,99.8/100.0,-99,-99,52.1,64.2,14.7,25.3,85.3,79.6,234.0,5.1,239228.0,150376.0,28752.0,105149.0,0.5870431482943252,5.160892263882297,3.2440781809552575,0.6202700953531518,2.268391077361177
Sweden,NorthernEurope,438574,9911,24.2,100.2,495694,4.1,50687.5,1.3,26.3,72.4,1.8,18.2,79.9,7.3,60.7/68.0,100,100,139574.0,140838.0,-1263.0,23250.0,0.8,85.8,0.8,1.9,83.7/80.0,17.5/25.5,1639.8/16.8,348.5,2.4,11.9,4.1,7.7,125.6/120.6,150.0/131.5,75.7/49.6,43.6,130.4,90.6,54,68.9,43.4/4.5,1428,206,100.0/100.0,99.2/99.6,-99,-99,60.7,68.0,17.5,25.5,83.7,80.0,43.4,4.5,37113.0,4971.0,4395.0,27747.0,1.0,3.7446271819190797,0.5015639188780143,0.44344667541115934,2.799616587629906
Switzerland,WesternEurope,41291,8476,214.5,98.2,670790,0.8,80831.1,0.7,25.5,73.8,3.5,20.4,76.1,4.6,62.5/74.5,106,106,304691.0,269157.0,35534.0,77378.0,1.2,73.9,1.1,1.5,84.8/80.5,14.9/24.1,2438.7/29.4,110.1,3.9,11.7,4.1,5.1,103.8/104.1,99.4/103.0,58.5/56.9,32.5,142.0,88.0,74,31.6,35.3/4.3,552,126,100.0/100.0,99.9/99.8,-99,-99,62.5,74.5,14.9,24.1,84.8,80.5,35.3,4.3,30845.0,28400.0,1919.0,14349.0,0.03665760680186773,3.6390986314299196,3.3506370929683813,0.22640396413402547,1.6928975932043417
The former Yugoslav Republic of Macedonia,SouthernEurope,25713,2083,82.6,100.0,10052,3.8,4836.1,12.0,27.9,65.1,16.2,29.2,54.5,27.3,43.9/67.8,111,112,4785.0,6757.0,-1972.0,-204.0,0.1,57.1,0.1,1.5,77.2/73.2,16.7/19.5,130.7/6.3,1.4,9.0,6.5,2.8,0.0,92.8/93.6,78.2/80.3,46.8/37.5,31.7,105.4,70.4,110,39.6,7.5/3.6,53,53,99.8/98.9,97.2/82.6,2.18,-99,43.9,67.8,16.7,19.5,77.2,73.2,7.5,3.6,2164.0,1535.0,131.0,977.0,0.5097236438075742,1.0388862217954873,0.7369179068650984,0.0628900624099856,0.46903504560729714
United Kingdom,NorthernEurope,242495,66182,273.6,97.4,2858003,2.2,44162.4,0.7,19.4,79.9,1.2,18.4,80.4,5.0,57.0/68.6,108,108,415856.0,635570.0,-219713.0,-122571.0,0.6,82.6,0.9,1.9,82.8/79.0,17.7/23.9,8543.1/13.2,151.7,4.1,9.1,2.8,5.7,108.1/108.4,130.4/125.3,64.1/49.0,30.0,125.8,92.0,102,12.9,419.8/6.5,4482,116,100.0/100.0,99.1/99.6,-99,-99,57.0,68.6,17.7,23.9,82.8,79.0,419.8,6.5,274219.0,1187.0,38458.0,234574.0,1.0,4.143407573056118,0.01793539028738932,0.5810945574325346,3.5443776253361943
