country,gdp,year,month,value,unit
Netherlands,880.4,19,4,854.0,thousand tones
Austria,436.1,19,4,383.414,thousand tones
Poland,552.2,19,4,9301.062,thousand tones
Portugal,228.2,19,4,220.784,thousand tones
Romania,199.0,19,4,1984.0,thousand tones
Slovenia,49.93,19,4,205.762,thousand tones
Slovakia,99.75,19,4,488.0,thousand tones
Finland,276.3,19,4,659.0,thousand tones
Sweden,559.1,19,4,188.0,thousand tones
United Kingdom,2848.0,19,4,582.852,thousand tones
Norway,511.6,19,4,67.172,thousand tones
Montenegro,4.66,19,4,29.42,thousand tones
Serbia,42.65,19,4,3324.678,thousand tones
Bosnia and Herzegovina,19.55,19,4,945.039,thousand tones
Ukraine,134.9,19,4,3817.0,thousand tones
Moldova,7.74,19,4,16.85,thousand tones
Belgium,527.8,19,5,307.1,thousand tones
Bulgaria,55.08,19,5,2383.2670000000007,thousand tones
Denmark,347.2,19,5,82.9,thousand tones
Germany,3820.0,19,5,13781.01,thousand tones
Estonia,26.36,19,5,1016.396,thousand tones
Ireland,245.8,19,5,,thousand tones
Greece,246.4,19,5,1808.859,thousand tones
Spain,1400.0,19,5,442.0,thousand tones
France,2902.0,19,5,779.455,thousand tones
Croatia,57.18,19,5,59.0,thousand tones
Italy,2129.0,19,5,742.0,thousand tones
Cyprus,21.34,19,5,2.339,thousand tones
Latvia,32.82,19,5,7.127999999999999,thousand tones
Lithuania,48.72,19,5,27.276,thousand tones
Luxembourg,63.93,19,5,5.742000000000001,thousand tones
Hungary,129.7,19,5,467.543,thousand tones
Malta,10.57,19,5,,thousand tones
Netherlands,880.4,19,5,783.0,thousand tones
Austria,436.1,19,5,322.113,thousand tones
Poland,552.2,19,5,9719.84,thousand tones
Portugal,228.2,19,5,144.982,thousand tones
Romania,199.0,19,5,1779.0,thousand tones
Slovenia,49.93,19,5,237.926,thousand tones
Slovakia,99.75,19,5,469.0,thousand tones
Finland,276.3,19,5,546.0,thousand tones
Sweden,559.1,19,5,193.0,thousand tones
United Kingdom,2848.0,19,5,442.155,thousand tones
Norway,511.6,19,5,67.172,thousand tones
Montenegro,4.66,19,5,44.43,thousand tones
Serbia,42.65,19,5,2542.615,thousand tones
Bosnia and Herzegovina,19.55,19,5,1083.484,thousand tones
Ukraine,134.9,19,5,3675.9,thousand tones
Moldova,7.74,19,5,1.73,thousand tones
Belgium,527.8,19,6,284.8,thousand tones
Bulgaria,55.08,19,6,1490.606,thousand tones
Denmark,347.2,19,6,29.656,thousand tones
Germany,3820.0,19,6,11630.969,thousand tones
Estonia,26.36,19,6,776.92,thousand tones
Ireland,245.8,19,6,19.306,thousand tones
Greece,246.4,19,6,2131.196,thousand tones
Spain,1400.0,19,6,409.0,thousand tones
France,2902.0,19,6,762.123,thousand tones
Croatia,57.18,19,6,57.0,thousand tones
Italy,2129.0,19,6,764.0,thousand tones
Cyprus,21.34,19,6,3.455,thousand tones
Latvia,32.82,19,6,2.341,thousand tones
Lithuania,48.72,19,6,22.05,thousand tones
Luxembourg,63.93,19,6,13.248,thousand tones
Hungary,129.7,19,6,569.11,thousand tones
Malta,10.57,19,6,,thousand tones
Netherlands,880.4,19,6,654.181,thousand tones
Austria,436.1,19,6,263.125,thousand tones
Poland,552.2,19,6,9526.018,thousand tones
Portugal,228.2,19,6,225.67,thousand tones
Romania,199.0,19,6,1676.0,thousand tones
Slovenia,49.93,19,6,241.907,thousand tones
Slovakia,99.75,19,6,409.0,thousand tones
Finland,276.3,19,6,390.0,thousand tones
Sweden,559.1,19,6,207.0,thousand tones
United Kingdom,2848.0,19,6,449.281,thousand tones
Norway,511.6,19,6,67.172,thousand tones
Montenegro,4.66,19,6,96.43,thousand tones
Serbia,42.65,19,6,2718.3190000000004,thousand tones
Bosnia and Herzegovina,19.55,19,6,1047.931,thousand tones
Ukraine,134.9,19,6,4202.1,thousand tones
Moldova,7.74,19,6,7.851,thousand tones
Belgium,527.8,19,7,305.5,thousand tones
Bulgaria,55.08,19,7,2000.476,thousand tones
Denmark,347.2,19,7,18.733,thousand tones
Germany,3820.0,19,7,12648.143999999998,thousand tones
Estonia,26.36,19,7,771.5310000000002,thousand tones
Ireland,245.8,19,7,21.531,thousand tones
Greece,246.4,19,7,2121.157,thousand tones
Spain,1400.0,19,7,693.0,thousand tones
France,2902.0,19,7,881.319,thousand tones
Croatia,57.18,19,7,58.0,thousand tones
Italy,2129.0,19,7,861.0,thousand tones
Cyprus,21.34,19,7,4.898,thousand tones
Latvia,32.82,19,7,5.5360000000000005,thousand tones
Lithuania,48.72,19,7,11.069,thousand tones
Luxembourg,63.93,19,7,7.141,thousand tones
Hungary,129.7,19,7,792.424,thousand tones
Malta,10.57,19,7,,thousand tones
Netherlands,880.4,19,7,722.395,thousand tones
