lat,long,date,time,CO_total
67.19535,55.80418,20200101,54906,1.453714e+18
66.17855,64.69941999999999,20200101,54913,1.62282e+18
65.99603,64.58588,20200101,54913,1.283904e+18
65.94601,65.11316,20200101,54913,1.333063e+18
66.126,65.22225999999999,20200101,54913,1.224667e+18
66.11709,63.05823,20200101,54913,1.889415e+18
66.25649,63.74288000000001,20200101,54913,1.564098e+18
66.18768,62.01059,20200101,54914,1.860016e+18
66.67126999999999,57.306380000000004,20200101,54914,1.762413e+18
66.44166,57.22919,20200101,54914,1.782608e+18
65.16195,68.12275,20200101,54920,1.845679e+18
65.71906,64.4298,20200101,54921,1.40129e+18
65.53641999999999,64.31943000000001,20200101,54921,1.672111e+18
65.84680999999999,62.9228,20200101,54921,1.697964e+18
65.65543000000001,62.81803000000001,20200101,54921,1.7356e+18
65.60715,63.389480000000006,20200101,54921,1.741936e+18
65.72561999999999,61.78824,20200101,54922,1.917264e+18
66.2086,57.17451,20200101,54922,1.676973e+18
65.97903000000001,57.09876,20200101,54922,1.832984e+18
66.02756,55.53545,20200101,54922,1.879657e+18
64.9549,65.40389,20200101,54929,1.756624e+18
64.90521,65.87208000000001,20200101,54929,1.875554e+18
65.38703000000001,62.68733,20200101,54929,1.602161e+18
65.19556999999999,62.58531,20200101,54929,1.64333e+18
65.33612,63.24445,20200101,54929,1.627214e+18
65.31067,60.94568,20200101,54930,1.670989e+18
65.74497,57.03617,20200101,54930,1.753679e+18
65.51538000000001,56.961819999999996,20200101,54930,1.701207e+18
65.56403,55.4334,20200101,54930,1.796767e+18
65.88195,52.63182,20200101,54930,1.737577e+18
64.61618,63.80851,20200101,54937,1.525817e+18
64.5678,64.30967,20200101,54937,1.488577e+18
64.74812,64.40984,20200101,54937,1.58457e+18
64.80099,61.36391999999999,20200101,54938,1.433769e+18
64.99911999999999,61.452180000000006,20200101,54938,1.641699e+18
65.28166,56.904669999999996,20200101,54938,1.757611e+18
65.05208,56.831630000000004,20200101,54938,1.703471e+18
65.10033,55.3272,20200101,54938,1.750319e+18
65.34131,55.379459999999995,20200101,54938,1.733709e+18
65.42112,52.58002,20200101,54938,1.66404e+18
64.28822,64.15374,20200101,54945,1.361252e+18
64.46384,62.233540000000005,20200101,54945,1.403408e+18
64.27224,62.13658,20200101,54945,1.350997e+18
64.58559,60.643409999999996,20200101,54946,1.530033e+18
64.38365,60.552580000000006,20200101,54946,1.524101e+18
64.33828000000001,61.15955,20200101,54946,1.749076e+18
63.87635,63.42488,20200101,54953,1.335909e+18
63.69334,63.325590000000005,20200101,54953,1.473777e+18
64.00186,62.01495,20200101,54953,1.33209e+18
63.8102,61.92033000000001,20200101,54953,1.374037e+18
63.763690000000004,62.45474,20200101,54953,1.516443e+18
63.921490000000006,60.3626,20200101,54954,1.741259e+18
63.876430000000006,60.959630000000004,20200101,54954,1.352401e+18
64.07465,61.04368,20200101,54954,1.605e+18
64.23274,52.446659999999994,20200101,54954,1.78885e+18
64.49502,52.47656,20200101,54954,1.811418e+18
63.41616,63.19066,20200101,55001,1.683636e+18
63.30124,62.235209999999995,20200101,55001,1.572548e+18
63.48988000000001,62.32311,20200101,55001,1.318699e+18
63.660680000000006,60.262969999999996,20200101,55002,1.54174e+18
63.458659999999995,60.176140000000004,20200101,55002,1.707944e+18
63.413909999999994,60.7636,20200101,55002,1.719179e+18
63.61216999999999,60.84571,20200101,55002,1.572138e+18
63.77005,52.3868,20200101,55002,1.724256e+18
62.465709999999994,67.43927,20200101,55008,1.977931e+18
62.58869,66.42718,20200101,55008,1.534838e+18
62.839940000000006,62.021330000000006,20200101,55009,1.522747e+18
63.02864,62.10714,20200101,55009,1.63832e+18
62.995490000000004,59.994440000000004,20200101,55010,1.7587e+18
63.30631999999999,52.32793,20200101,55010,1.77125e+18
63.56859,52.35852,20200101,55010,1.726711e+18
61.48133000000001,69.79735,20200101,55016,1.711185e+18
61.55616,69.23968,20200101,55016,1.586577e+18
61.728790000000004,67.99665999999999,20200101,55016,1.793415e+18
62.00937,67.15069,20200101,55016,1.314038e+18
61.848459999999996,67.04651,20200101,55016,1.573274e+18
61.965759999999996,66.0498,20200101,55016,1.591528e+18
61.918040000000005,66.42309,20200101,55016,1.296143e+18
62.081790000000005,66.52105,20200101,55016,1.349713e+18
62.082280000000004,64.99274,20200101,55017,1.543101e+18
62.03511999999999,65.38962,20200101,55017,1.472663e+18
62.61481,61.39062,20200101,55017,1.610544e+18
62.422990000000006,61.302319999999995,20200101,55017,1.539658e+18
62.56635,61.896,20200101,55017,1.497844e+18
62.531659999999995,59.81613,20200101,55018,1.636263e+18
62.487480000000005,60.38536,20200101,55018,1.553968e+18
62.6858,60.46388,20200101,55018,1.523096e+18
63.1331,51.221309999999995,20200101,55018,1.768375e+18
62.84434,52.2767,20200101,55018,1.736747e+18
63.10653000000001,52.30765,20200101,55018,1.668518e+18
61.18237,69.58927,20200101,55024,1.879199e+18
61.25521,69.03059,20200101,55024,1.583713e+18
61.672709999999995,65.88215,20200101,55024,1.485084e+18
61.507540000000006,65.7831,20200101,55024,1.362847e+18
61.62418,66.24665999999999,20200101,55024,1.335946e+18
61.792719999999996,64.83794,20200101,55025,1.444411e+18
61.62255,64.74154,20200101,55025,1.572409e+18
61.744369999999996,65.22539,20200101,55025,1.581525e+18
62.1507,61.19262,20200101,55025,1.817621e+18
61.95884,61.10621,20200101,55025,1.369473e+18
62.06876,59.6423,20200101,55026,1.714594e+18
62.02482,60.20287,20200101,55026,1.610128e+18
60.57496,69.16816,20200101,55032,2.523072e+18
60.93316,66.49297,20200101,55032,1.66753e+18
61.21411,65.61973,20200101,55032,1.375417e+18
61.561240000000005,60.023480000000006,20200101,55034,1.476688e+18
61.67338,58.47428000000001,20200101,55034,1.807618e+18
61.93883,51.10183,20200101,55034,1.751576e+18
60.75516,65.36359,20200101,55040,1.372313e+18
60.58976,65.26911,20200101,55040,1.447199e+18
60.70755,65.7181,20200101,55040,1.635441e+18
60.70243000000001,64.25636,20200101,55041,1.421489e+18
61.29496999999999,59.9208,20200101,55042,1.720172e+18
60.0627,66.95903,20200101,55048,1.879654e+18
60.179480000000005,66.0585,20200101,55048,1.588132e+18
59.97158,66.29958,20200101,55048,1.862921e+18
60.295790000000004,65.11317,20200101,55048,1.493549e+18
60.13029,65.02083,20200101,55048,1.303833e+18
59.719919999999995,65.80091,20200101,55056,1.941104e+18
59.6729,66.12906,20200101,55056,1.919363e+18
58.63731,68.80275,20200101,55103,2.056623e+18
58.8735,67.18097,20200101,55104,2.093304e+18
59.275180000000006,63.933609999999994,20200101,55105,1.540215e+18
59.44415,64.0162,20200101,55105,1.671184e+18
58.68871,66.17053,20200101,55112,2.23752e+18
58.484280000000005,66.3899,20200101,55112,2.188934e+18
58.64207,66.47759,20200101,55112,2.226262e+18
58.75019,64.30886,20200101,55112,1.669861e+18
57.999559999999995,67.54867,20200101,55120,1.61567e+18
57.84541,67.45543,20200101,55120,1.655069e+18
57.951719999999995,67.83558000000001,20200101,55120,1.600153e+18
58.06924,67.03879,20200101,55120,1.931026e+18
58.026309999999995,66.13714,20200101,55120,1.973272e+18
58.18421,66.22293,20200101,55120,1.8658e+18
58.35284,63.48947,20200101,55121,1.855269e+18
58.45981,62.503859999999996,20200101,55121,1.852443e+18
57.02489,69.49191,20200101,55127,1.679136e+18
57.25346,69.10517,20200101,55127,1.734525e+18
57.27211,67.96540999999999,20200101,55127,1.789567e+18
57.22345,68.24717,20200101,55127,1.735112e+18
57.37647,68.33841,20200101,55127,1.904788e+18
57.992619999999995,63.94138,20200101,55128,1.628615e+18
56.44132,69.96311999999999,20200101,55135,1.793354e+18
56.7244,69.30553,20200101,55135,1.833762e+18
56.76801999999999,67.97743,20200101,55135,1.740372e+18
56.92119,68.06671999999999,20200101,55135,1.733798e+18
57.1533,66.52485,20200101,55136,1.697401e+18
56.0663,69.20335,20200101,55143,1.564803e+18
56.53991,66.19015999999999,20200101,55144,1.883972e+18
56.75631,64.59605,20200101,55144,1.877148e+18
58.05161999999999,50.72804,20200101,55146,1.79375e+18
57.780440000000006,50.68845,20200101,55146,1.87632e+18
57.75488000000001,51.61979,20200101,55146,1.763488e+18
58.0167,51.653690000000005,20200101,55146,1.68692e+18
55.66356999999999,68.65697,20200101,55151,1.832589e+18
56.23372,64.88351999999999,20200101,55152,1.620094e+18
56.5014,64.14499,20200101,55152,1.721052e+18
56.82815,61.42702,20200101,55153,1.781366e+18
56.65132,61.352219999999996,20200101,55153,1.784496e+18
56.6087,61.71528000000001,20200101,55153,1.717016e+18
56.78351,61.7864,20200101,55153,1.763408e+18
56.93871,60.38661999999999,20200101,55153,1.784709e+18
57.58558000000001,50.6777,20200101,55154,1.660594e+18
56.04258000000001,62.45385,20200101,55201,1.734593e+18
54.7289,69.20984,20200101,55207,1.794269e+18
55.47193000000001,64.51595999999999,20200101,55208,1.712759e+18
55.57895,63.71825,20200101,55208,1.75739e+18
55.4166,63.641180000000006,20200101,55208,1.67123e+18
55.373830000000005,63.938269999999996,20200101,55208,1.819557e+18
55.53519,64.01233,20200101,55208,1.768379e+18
55.68574,62.8837,20200101,55208,1.759613e+18
55.47704,63.1202,20200101,55208,1.822554e+18
55.579809999999995,62.25807,20200101,55209,1.744684e+18
55.74929,62.32856999999999,20200101,55209,1.584105e+18
55.90091999999999,61.05978,20200101,55209,1.654928e+18
55.72401,60.98753000000001,20200101,55209,1.850263e+18
55.856759999999994,61.41066,20200101,55209,1.736238e+18
56.1878,58.16885,20200101,55210,1.744455e+18
54.53014,66.44136,20200101,55215,2.114574e+18
