Label,Country,Country_code,unit,tra_meas,airline,rep_airp_per_time,2020M04,2020M03,2020M02,2020M01,2019M12,2019M11,2019M10,2019M09,2019M08,2019M07,2019M06,2019M05,2019M04,2019M03,2019M02,2019M01
Passengers carried,Belgium,BEL,PAS,PAS_CRD,UNK,BE_EBBR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Passengers carried,Belgium,BEL,PAS,PAS_CRD,TOTAL,BE_EBBR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Commercial aircraft movements (passenger, freight and mail, commercial general aviation operations)",Belgium,BEL,MOVE,CACM,UNK,BE_EBBR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Commercial aircraft movements (passenger, freight and mail, commercial general aviation operations)",Belgium,BEL,MOVE,CACM,TOTAL,BE_EBBR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Aircraft movements (passenger, freight and mail, commercial and non-commercial general aviation operations)",Belgium,BEL,MOVE,ACM,UNK,BE_EBBR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Aircraft movements (passenger, freight and mail, commercial and non-commercial general aviation operations)",Belgium,BEL,MOVE,ACM,TOTAL,BE_EBBR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Freight and mail loaded and unloaded,Bulgaria,BGR,T,FRM_LD_NLD,UNK,BG_LBWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Freight and mail loaded and unloaded,Bulgaria,BGR,T,FRM_LD_NLD,TOTAL,BG_LBWN,N/A,N/A,N/A,N/A,7,7,7,12,18,18,12,9,2,12,12,7
Freight and mail loaded and unloaded,Bulgaria,BGR,T,FRM_LD_NLD,LIC_NEU,BG_LBWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Freight and mail loaded and unloaded,Bulgaria,BGR,T,FRM_LD_NLD,LIC_EU,BG_LBWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
